ID,Name,ImageURL
85,Prva Liga Srbija,https://cdn.soccerwiki.org/images/logos/leagues/85.png
86,Super Liga,https://cdn.soccerwiki.org/images/logos/leagues/86.jpg
87,Prva Liga,https://cdn.soccerwiki.org/images/logos/leagues/87.png
88,Premier Soccer League,https://cdn.soccerwiki.org/images/logos/leagues/88.png
89,La Liga,https://cdn.soccerwiki.org/images/logos/leagues/89.png
90,La Liga 2,https://cdn.soccerwiki.org/images/logos/leagues/90.png
91,Allsvenskan,https://cdn.soccerwiki.org/images/logos/leagues/91.png
92,Superettan,https://cdn.soccerwiki.org/images/logos/leagues/92.png
93,Super League,https://cdn.soccerwiki.org/images/logos/leagues/93.png
94,Challenge League,https://cdn.soccerwiki.org/images/logos/leagues/94_1361397404.jpg
95,Süper Lig,https://cdn.soccerwiki.org/images/logos/leagues/95.png
96,1. Lig,https://cdn.soccerwiki.org/images/logos/leagues/96_1361397415.jpg
97,Premier Liha,https://cdn.soccerwiki.org/images/logos/leagues/97.png
98,Major League Soccer,https://cdn.soccerwiki.org/images/logos/leagues/98.png
99,Primera División,https://cdn.soccerwiki.org/images/logos/leagues/99.png
100,Primera División,https://cdn.soccerwiki.org/images/logos/leagues/100.png
101,Erovnuli Liga,https://cdn.soccerwiki.org/images/logos/leagues/101.png
102,Cymru Premier,https://cdn.soccerwiki.org/images/logos/leagues/102.png
103,NIFL Premiership,https://cdn.soccerwiki.org/images/logos/leagues/103.png
104,Premier League,https://cdn.soccerwiki.org/images/logos/leagues/104.png
105,Iran Pro League,https://cdn.soccerwiki.org/images/logos/leagues/105.jpg
109,Kategoria e Parë,https://cdn.soccerwiki.org/images/logos/leagues/109.png
110,Girabola,https://cdn.soccerwiki.org/images/logos/leagues/110.png
111,Pervaya Liga,https://cdn.soccerwiki.org/images/logos/leagues/111.png
112,Esiliiga,https://cdn.soccerwiki.org/images/logos/leagues/112_1350645833.jpg
113,Primera División B,https://cdn.soccerwiki.org/images/logos/leagues/113.png
114,Categoría Primera B,https://cdn.soccerwiki.org/images/logos/leagues/114.png
115,FNL,https://cdn.soccerwiki.org/images/logos/leagues/115.jpg
116,Primera B,https://cdn.soccerwiki.org/images/logos/leagues/116.png
117,Ykkösliiga,https://cdn.soccerwiki.org/images/logos/leagues/117.png
118,Perscha Liga ,https://cdn.soccerwiki.org/images/logos/leagues/118.png
119,Linafoot,https://cdn.soccerwiki.org/images/logos/leagues/119.jpg
120,Primera División,https://cdn.soccerwiki.org/images/logos/leagues/120.png
121,Premier League,https://cdn.soccerwiki.org/images/logos/leagues/121.png
122,Liga Nacional,https://cdn.soccerwiki.org/images/logos/leagues/122.png
123,First Division League,https://cdn.soccerwiki.org/images/logos/leagues/123.jpg
124,I-League,https://cdn.soccerwiki.org/images/logos/leagues/124.jpg
125,Liga 1,https://cdn.soccerwiki.org/images/logos/leagues/125.png
126,Iraq Stars League,https://cdn.soccerwiki.org/images/logos/leagues/126.png
127,Ligue 1 de Côte d'Ivoire,https://cdn.soccerwiki.org/images/logos/leagues/127.jpg
128,Jordanian Pro League,https://cdn.soccerwiki.org/images/logos/leagues/128.png
129,Lebanese Premier League,https://cdn.soccerwiki.org/images/logos/leagues/129.png
130,National Division,https://cdn.soccerwiki.org/images/logos/leagues/130_1350751503.jpg
131,Malaysian Super League,https://cdn.soccerwiki.org/images/logos/leagues/131.png
132,Botola Pro,https://cdn.soccerwiki.org/images/logos/leagues/132.jpg
133,Primera División,https://cdn.soccerwiki.org/images/logos/leagues/133.png
134,Nigerian Professional Football League,https://cdn.soccerwiki.org/images/logos/leagues/134.png
135,Liga Panameña de Fútbol,https://cdn.soccerwiki.org/images/logos/leagues/135_1350851659.jpg
136,Stars League,https://cdn.soccerwiki.org/images/logos/leagues/136.jpg
137,Saudi Pro League,https://cdn.soccerwiki.org/images/logos/leagues/137.png
138,Singapore Premier League,https://cdn.soccerwiki.org/images/logos/leagues/138.png
139,Premier League,https://cdn.soccerwiki.org/images/logos/leagues/139_1342598412.jpg
140,Syrian Premier League,https://cdn.soccerwiki.org/images/logos/leagues/140_1350920237.jpg
141,Thai League 1,https://cdn.soccerwiki.org/images/logos/leagues/141.png
142,Uzbekistan Super League,https://cdn.soccerwiki.org/images/logos/leagues/142.png
143, UAE Pro League,https://cdn.soccerwiki.org/images/logos/leagues/143.png
144,First Division,https://cdn.soccerwiki.org/images/logos/leagues/144.jpg
145,Ligue Professionnelle 1,https://cdn.soccerwiki.org/images/logos/leagues/145.png
146,National First Division,https://cdn.soccerwiki.org/images/logos/leagues/146_1350920227.jpg
150,Segunda B III,https://cdn.soccerwiki.org/images/logos/leagues/150.png
151,Série C,https://cdn.soccerwiki.org/images/logos/leagues/151.png
152,Ligue Professionnelle 1,https://cdn.soccerwiki.org/images/logos/leagues/152.jpg
